State,Male_household_nofamily,None_Family_household,Householder_living_alone,Household_people_under18,Population_in_household,Relationship_child,Never_Married,Divorced,Kindergarten,12grade_nodiploma,Some_college_no_degree,Grade_professional_degree,Naturalised_US_citizen,Not_US_citizen,Year
Alabama,79578,622832,543128,570218,4731852,1421417,628329,213037,60996,326654,712204,299648,61709,106217,2017
Alaska,14809,84271,64344,88703,710743,227117,116830,31990,10363,23521,129941,49513,31836,24207,2017
Arizona,134890,859696,679053,774208,6656124,1991781,991678,291176,87679,342451,1143553,482222,375102,536708,2017
Arkansas,51715,386991,326852,362985,2894098,836468,358706,142077,40620,182659,448518,156751,44682,96397,2017
California,764466,4025605,3075683,4540623,38168482,12174019,6251626,1216173,523699,2033160,5586071,3161747,5267884,5250604,2017
Colorado,96026,743795,567348,657781,5318396,1507751,771395,228316,70600,191957,798224,536679,213384,320192,2017
Connecticut,59512,466088,383275,411982,3478451,1055817,537848,126522,39570,137877,422535,421144,257505,254388,2017
District of Columbia,10092,156574,121126,59794,632449,148319,151917,21248,7629,27608,62203,156593,39159,55262,2017
Delaware,15873,116852,94661,103355,918625,269467,133843,35978,11998,46228,125964,84291,40389,45639,2017
Florida,359895,2663576,2158919,2070279,19847798,5678918,2854861,922622,228572,1053634,2937324,1479474,2235304,1871063,2017
Georgia,174272,1186856,983015,1263112,9943137,3151788,1434632,380319,141494,583369,1390995,761536,426341,596894,2017
Hawaii,25919,137738,108728,148852,1377486,389977,217448,48160,16693,45113,210452,106253,148632,108079,2017
Idaho,26855,194897,159155,200867,1627495,509681,194739,69890,23286,64779,282995,90838,37777,60680,2017
Illinois,221257,1695961,1407091,1511085,12553961,3901555,1924850,429140,159712,544799,1812247,1122258,886976,913882,2017
Indiana,119824,873059,717931,803968,6425770,1933216,877029,296442,84720,343773,904964,401467,126702,206958,2017
Iowa,52688,451011,362580,376231,3017668,844620,404063,123297,43038,102455,440583,185462,59211,97268,2017
Kansas,49591,386837,322256,360415,2823480,842732,370087,115847,41321,109443,445804,221339,76003,127777,2017
Kentucky,83075,587597,489398,540452,4293245,1220602,554759,210032,54978,260397,625391,285652,61265,99437,2017
Maine,24524,205746,161120,143583,1294208,321598,168829,69002,14290,49053,187812,105195,26596,20960,2017
Louisiana,88910,615581,519662,554512,4534218,1430342,696590,192713,61073,319765,657791,249538,79168,114487,2017
Massachusetts,109357,938096,736053,769371,6538591,1902034,1071220,213328,77478,241431,741582,879256,577937,519292,2017
Maryland,106150,720907,588076,713897,5855584,1800790,879305,194767,76884,251201,786290,736699,451224,443489,2017
Michigan,182351,1379036,1134862,1142299,9695870,2866304,1427168,414919,121717,452157,1588068,739199,336737,316459,2017
Minnesota,91668,763021,609357,662900,5357190,1558055,761395,195859,71732,155089,795044,436311,225510,222887,2017
Mississippi,54298,358132,310702,368719,2892138,909996,415396,122665,45227,215393,441829,157325,26424,42470,2017
Missouri,105431,848246,696905,724127,5900263,1698335,794125,266619,76899,302552,917414,437511,111794,131041,2017
Montana,17781,159226,127716,114479,1001023,262093,134159,48902,13594,34918,170126,71219,11375,10396,2017
Nebraska,30906,265464,216775,237121,1841687,538786,244332,69815,26410,62269,288681,126270,47740,82920,2017
New Hampshire,23372,176052,134536,150964,1289641,345269,176867,58602,14137,46172,176656,129334,42465,36404,2017
Nevada,63951,380800,299082,329681,2850083,842979,425940,149096,36422,162406,506805,159510,268358,293386,2017
New Jersey,155273,981832,822446,1069635,8774359,2845697,1324199,241649,112151,351184,1026060,907865,1081706,897450,2017
New Mexico,43657,278900,233131,238687,2041820,635398,310013,93771,28471,117878,324980,162504,74921,126377,2017
New York,363352,2669680,2171572,2194841,19220855,5868068,3207686,563501,234104,1011359,2169152,2101826,2484644,2006012,2017
North Carolina,171483,1322907,1095349,1216304,9784981,2859935,1338667,366266,127535,556286,1468899,722112,289662,498309,2017
North Dakota,13115,124468,96953,87617,719063,187425,111896,27236,10101,21535,110330,37773,10420,16295,2017
Ohio,216840,1676708,1391133,1381829,11296980,3279563,1601709,497221,140573,577205,1614614,807423,254415,247920,2017
Oklahoma,75016,497279,414010,479559,3786725,1127641,484618,184063,56578,211219,602859,211476,79098,150488,2017
Oregon,69729,576889,435373,457331,3936874,1054092,552347,185146,46420,166982,723165,341435,168764,229637,2017
Pennsylvania,223912,1790396,1484869,1420567,12363237,3567900,1866783,441330,141342,602519,1427444,1051486,438578,403153,2017
Rhode Island,18885,153728,126011,119319,1014551,293364,164230,40004,10609,52194,132266,95881,76866,67344,2017
South Carolina,83365,632946,532882,565221,4756406,1384337,671931,185449,71683,299123,692360,326982,95882,141907,2017
South Dakota,15153,123304,101755,103097,821456,230342,114479,34588,12156,28892,122132,46646,10470,17888,2017
Tennessee,115864,857711,715262,789370,6443385,1866546,840285,291839,80168,375345,934347,428160,121260,205694,2017
Texas,481764,2870116,2352249,3530159,26815013,8924348,3753223,968791,413027,1491909,3857193,1721618,1667217,2955178,2017
Utah,39996,234115,180049,391666,2947466,1084200,363056,89589,51479,93698,466394,191854,94347,153811,2017
Vermont,10236,99968,76569,67446,599387,148310,88383,28773,6765,22651,76013,65552,15501,12712,2017
Virginia,132960,1027555,831212,1002203,8123404,2388017,1156982,285014,108100,369037,1117556,912578,518288,496678,2017
West Virginia,35414,256647,216676,205402,1788621,478849,232272,93545,20453,121235,239718,101998,14950,14628,2017
Washington,125165,973158,745842,852879,7027628,1977228,995489,295581,90564,260358,1174696,622908,464628,521887,2017
Wyoming,11142,81140,65248,69356,569009,158537,72713,29112,7701,20964,102720,36156,7912,12807,2017
Wisconsin,105793,847228,675580,677337,5615789,1581966,810062,228803,83932,213704,814870,386068,125644,155747,2017
